Italian,English
appena,as soon as 
potrebbe,could be 
soldi,money 
dice,he says
sapere,know 
tre,Three 
oggi,Today 
questi,these 
piace,pleases 
idea,idea
siete,you are
ai,to the 
avevo,I had 
figlio,son 
accordo,agreement 
gente,people
sicuro,Safe 
vieni,You come 
degli,of the 
guarda,Look 
dentro,inside
trovato,found 
queste,these 
caso,case
forza,Force 
dov',where
tutte,all 
pensi,you think
signora,Lady 
faccio,I do 
nome,name
avuto,had 
problema,problem
altri,others 
puo,can 
aver,have
mondo,world 
tutta,all
preso,taken 
nulla,Nothing 
nostra,our 
donna,woman
stare,to stay
basta,Enough 
insieme,Together 
faccia,face 
ragazza,lass 
subito,right away 
famiglia,family 
ragazzo,lad 
volevo,I wanted 
okay,okay
sentito,sense 
ah,ah
stesso,same 
ragione,reason 
sarà,will be 
tuoi,yours
capito,Understood 
notte,Night 
volte,times 
testa,head 
serve,it serves
tesoro,treasure
sotto,under 
eh,eh
suoi,his 
vado,I go 
sara,will be 
dato,given 
stiamo,we are
bella,Pretty 
scusa,Excuse me 
erano,they were 
pensavo,I thought 
avrei,I would have
prendere,take 
buona,Good 
porta,brings 
bello,Handsome 
moglie,wife 
vorrei,I would like 
storia,history 
succede,happens 
morto,died 
cercando,looking for
dici,you say 
persona,person
pronto,ready
meno,less 
dovuto,due 
avanti,after you 
capisco,I understand 
secondo,second 
venire,come 
polizia,police
lì,there 
avrebbe,would have
stanno,they are
mentre,While 
letto,Bed 
fino,until 
dico,I say
amici,friends 
fine,the end
aiuto,help 
paura,fear 
fratello,Brother 
stavo,I was
uomini,men 
nell',in the' 
domani,Tomorrow 
facciamo,we do 
abbastanza,Enough 
capo,boss 
amore,Love 
nei,in the 
ucciso,killed
state,state
piano,floor 
macchina,machine 
trovare,find 
comunque,Anyway 
vediamo,We see 
giorni,days 
nemmeno,neither 
mano,hand 
dall',from
presto,Soon 
stati,states
merda,shit
far,to do
bambino,child 
andato,left 
vedo,I see 
tornare,return 
quelle,those 
cio,that is 
primo,first 
vostro,your 
neanche,not even 
sera,evening
giro,tour 
morte,death
e',And' 
qua,here
pensato,thought 
buon,Good 
anno,year 
mie,mine
diavolo,devil 
quasi,Almost 
piacere,Pleasure 
bel,nice 
dovrei,I should 
nessun,no 
contro,against 
stessa,same
felice,happy 
colpa,guilt 
punto,point 
andata,gone
dovrebbe,should 
vedi,you see 
quale,Which 
chiesto,asked
invece,Instead 
perchè,Why 
migliore,improve 
nostri,our 
finito,finished 
figlia,Daughter 
dovresti,you should 
papa,Pope 
almeno,at least 
sento,I feel 
quei,those 
col,with the 
ore,hours 
passato,past 
magari,Perhaps 
minuti,minutes 
terra,Earth 
vostra,yours
strada,street 
sola,alone
credi,you believe
importante,important
sue,his 
salve,Greetings 
settimana,week 
perso,lost 
uscire,go out 
parlato,spoke 
papà,Pope 
stasera,this evening 
scusi,Excuse me 
dollari,dollars
occhi,eyes 
mani,hands 
ultima,last
possibile,possible 
scuola,school 
significa,it means
sapevo,I knew
nelle,in the
potrei,I could 
stava,was
bambini,children 
eri,you were
importa,it matters
indietro,backwards 
riesco,I am able to 
sangue,blood
chiama,call
messo,put in order 
piccolo,small 
traduzione,translation 
tardi,late 
cuore,Heart 
marito,Husband 
viene,he comes 
venuto,came
ieri,Yesterday 
spero,I hope 
ricordi,memories 
quelli,those 
dovremmo,we should
lasciato,left 
ascolta,Listen 
difficile,difficult
quell',that one
auto,car
chiamato,called
ciò,that is 
altre,other 
parlando,speaking
pensare,think 
fantastico,Fantastic 
fatta,done
numero,number 
veramente,Truly 
fanno,they do 
com',how
serio,serious
possa,may
fossi,ditches
entrare,enter 
anch',also
qualsiasi,any 
pensa,thinks 
dicendo,saying
acqua,waterfall 
portato,carried 
stanza,room 
problemi,problems 
forte,strong 
nessuna,none 
lascia,leaves 
amo,I love
roba,stuff
agente,agent
dietro,behind 
corpo,body
pare,it seems
sentire,feel 
foto,photo
telefono,telephone 
voleva,he wanted 
poco,little
prendi,you take 
piccola,small 
vicino,Neighbor 
quest',this
sacco,sack 
stia,stay
capire,understand 
potuto,could
cinque,five 
strano,strange 
tue,yours
andando,going 
donne,women 
sappiamo,we know
bravo,good
ragazze,girls 
festa,party
senso,sense 
genere,type 
quattro,four 
dare,give 
attimo,moment
sorella,sister 
pure,pure
probabilmente,probably 
film,film
parla,speaks 
ufficio,office 
verso,towards 
mesi,months 
farti,make yourself
unica,unique 
morire,die 
signorina,Miss 
vecchio,old 
domanda,request 
ben,well
guerra,war
dottore,doctor 
conosco,I know
qual,which
vivere,live 
vista,view
prova,trial 
nuova,new
ricordo,I remember 
divertente,fun 
avessi,I had
sicura,safe 
paio,pair
conto,I count 
perdere,LOSE 
dimmi,Tell me 
farmi,make me
figli,children 
mezzo,half 
lavorare,work 
unico,unique 
esattamente,Exactly 
squadra,squad 
esatto,Exactly 
possono,they can
fate,fairies
faro,lighthouse 
sapete,you know
dottor,doctor
parola,word 
piedi,feet 
sopra,above 
motivo,reason
avevi,you had
cavolo,cabbage
capitano,captain
finita,finished
volete,you want
siano,are
potresti,you could 
gioco,game 
perfetto,Perfect 
be,be
mente,mind
mangiare,eat 
resto,rest
credere,believe 
fortuna,fortune 
tratta,deals with 
chiamo,I'm calling
morta,dead
là,there
entrambi,both 
avresti,you would have
passare,pass 
cena,dinner
the,the
sarei,I would be
controllo,check 
affari,business 
spiace,sorry
ultimo,last 
facile,easy
farò,lighthouse 
buongiorno,Good morning 
davanti,in front of 
tizio,guy
dammi,give me 
sicurezza,safety 
dalle,from
quanti,how many 
dica,say
matrimonio,marriage 
john,John
vogliono,they want
molti,many 
culo,ass
fuoco,fire 
cercare,look for 
pistola,pistol 
potremmo,we could
re,king
mandato,mandate
puttana,whore
negli,in the
cioe,Meaning what 
inizio,start 
saranno,they will be
causa,cause 
voglia,wants 
mettere,put 
fammi,do for me 
uccidere,kill 
vogliamo,we want
faremo,we will do
però,but
genitori,parents 
sesso,sex
potete,you can 
ricevuto,received 
vivo,I live
presidente,president
città,city ​​
citta,city ​​
succedendo,happening
ospedale,hospital 
fu,it was
agli,to the
scritto,written 
smettila,stop it
vada,go
attenzione,Attention 
sulle,on the
bere,to drink
situazione,situation 
omicidio,homocide 
revisione,revision 
avesse,had
ottimo,Optimal 
cura,treatment 
durante,during
provato,tried 
parole,words 
lasciare,leave 
dicono,they say
new,new
prossima,next
nostre,ours
arrivato,arrived 
paese,village 
sull',on the
andate,go
chiunque,whoever 
capisci,you understand 
pace,peace
immagino,I imagine 
musica,music 
tieni,keep
oddio,hate 
jack,Jack
libro,book
eravamo,we were
amica,friend 
diventare,become 
sui,on
sbagliato,wrong 
dirmi,tell me
wow,wow
farai,you will do
entra,enter 
venuta,coming
scelta,choice 
voluto,wanted
portare,bring 
assolutamente,absolutely 
molte,many 
chiedo,I ask
torna,come back
scoperto,discovery 
fatti,facts 
settimane,weeks
dirlo,say it
alcuni,some 
prigione,prison 
giornata,day 
piuttosto,rather 
buono,Good 
aspettare,wait 
parli,you speak
arrivare,arrive 
lungo,long 
vede,he sees
avvocato,lawyer 
deciso,decided
sarai,you will be
messaggio,message 
dormire,sleep 
dieci,ten 
stupido,stupid
usare,use 
dello,of the
cielo,sky
guardare,watch 
bagno,bath 
aria,air 
voce,voice 
tornato,returned
vuol,he wants
giù,below 
conosci,you know 
benissimo,Very well 
prendo,I take 
verita,truth 
cane,dog 
restare,remain 
chiamare,call 
poter,to be able to
campo,field
luce,light 
sam,sam
qualunque,anyone 
giovane,young
signori,gentlemen
fra,between
provare,try 
minuto,minute
saperlo,know it
lontano,distant 
gruppo,group 
continua,continues 
arrivo,I arrive 
gran,big
realta,reality 
cerca,near 
passo,step
domande,requests 
insomma,In short 
bambina,girl 
pensando,thinking
capelli,hair 
trova,finds 
onore,honor 
aiutare,help 
verità,truth 
prove,evidence
n',n'
funziona,works 
alto,tall
giu,below 
credevo,I believed
futuro,future
preoccuparti,worry
idiota,idiot
cibo,food 
fretta,rush 
cara,dear
finalmente,finally
morti,dead
odio,hate
solito,usual 
brava,Good 
é,And 
incidente,accident 
allo,at the 
dev',must
intenzione,intention
speciale,special
cambiare,change 
vera,true
camera,room
oltre,beyond 
semplice,simple 
dirti,tell you
riguardo,regard 
finche,until 
aspetto,I wait 
viaggio,voyage 
chiaro,clear 
chiamata,call
bocca,mouth 
permesso,permit 
piacerebbe,I would like to
dovete,you have to
giocare,play 
ordine,order 
circa,about 
ovviamente,Obviously 
finire,finish 
piu',more' 
natale,Christmas 
i',i'
direi,I would say
vostri,yours
occhio,eye 
pronta,ready
scusami,Excuse me 
mattina,morning 
cercato,searched
crede,he believes
sistema,system
york,york
fondo,bottom
resta,stay
devono,they must
prossimo,next 
pronti,ready
saputo,known
scusate,Excuse me 
potere,candies 
milioni,millions
soltanto,only 
armi,weapons 
arriva,he arrives 
fermo,stopped 
mese,month 
chiedere,ask 
cristo,Christ
torno,I'm coming back
venite,come
controllare,check 
appuntamento,appointment 
s,s
chiami,you call
vecchia,old 
detective,detective
pero,but
metti,you put 
grado,degree
vanno,they go 
nave,ship 
iniziato,started
perche',Why' 
informazioni,information 
libero,free 
stronzo,asshole
grandi,large
pezzo,piece 
segreto,secret 
colpo,hit 
faceva,he was doing
piacciono,they like
porto,port
oppure,or 
completamente,completely
vederti,to see you
lista,list
venga,come
veloce,fast 
assassino,murderer
sapeva,he knew
finché,until 
tom,tom
ormai,at this point 
interessa,it's of interest
generale,general
giusta,right
tenere,hold 
pazzo,crazy 
vittima,victim
giuro,I swear 
consiglio,advise 
michael,Michael
alcune,someone 
semplicemente,simply 
zio,Uncle 
centro,center
specie,species
mille,a thousand
sogno,dream 
lasci,leave
carino,cute 
doveva,where you go 
brutto,ugly
nello,in the
aspetti,aspects
incredibile,incredible 
sole,sun
glielo,give it to him
legge,law 
spesso,Often 
guardate,look
cambiato,changed
scena,scene
volevi,you wanted
charlie,Charlie
lasciami,leave me
gentile,Kind 
rispetto,respect 
ve,you
fara,will do
zitto,shut up
incontro,encounter 
farà,will do
servono,they serve
rapporto,relationship 
errore,mistake 
mike,Mike
sanno,they know
pagare,pay 
sorpresa,surprise
occhiata,glance
risposta,answer 
presa,socket
servizio,service
medico,doctor 
usato,used
hey,hey
caro,Dear 
schifo,disgust 
avrai,you will have
dolore,pain
saresti,you would be
personale,staff
quali,which 
saro,I will be
peggio,worse 
addio,Goodbye 
addosso,on me
dovevo,I had to
poteva,could
pieno,full 
diverso,different 
vestiti,clothes 
sparato,shot
realtà,reality 
do,do
sarò,I will be
normale,normal 
fame,hunger
programma,plan 
nonna,Grandmother 
sappia,know
sembrava,it seemed
migliori,best
notizie,news 
avevamo,we had
riesci,you can
posizione,position
vengo,I'm coming
rimanere,stay 
compagnia,company 
proposito,about
farci,to do it
joe,Joe
ricorda,remember 
frank,frank
prende,takes 
tante,many
avevano,they had
arrivando,arriving
chiuso,closed 
terribile,terrible 
ritardo,delay 
attento,careful 
bar,bar
sembri,you seem
fallo,foul
dimenticato,forgotten 
bisogna,must 
impossibile,impossible 
cioè,Meaning what 
studio,study
stessi,same
arma,weapon
conosce,he knows
uscita,exit 
ii,ii
fin,end
disse,he said
david,David
vattene,go away
quante,how many
guai,trouble
intorno,environment 
video,video
manca,lacks 
esserci,to be there
grosso,big
tanti,many 
dolce,Sweet 
chiave,key 
cervello,brain 
coraggio,courage 
interessante,interesting
peccato,Sin 
questione,question
adoro,I love it
aereo,airplane 
guardi,look
rubato,stolen 
sala,hall
base,base
peter,Peter
george,George
sette,seven
sente,he feels
compleanno,birthday 
potrebbero,they could
relazione,relation 
cliente,customer
spalle,shoulders 
seconda,second
parti,parts
vale,it's worth
qualcun,someone
diritto,right 
sicuramente,Surely 
appartamento,apartment 
pranzo,lunch 
saremo,we will be
denaro,money
riuscito,successful
continuare,continue
serata,evening
nero,black 
vestito,dress 
carta,paper 
ex,ex
dottoressa,doctor 
bastardo,bastard
potevo,I could
iniziare,start 
lavora,he works
otto,eight 
conosciuto,known 
zona,area
stavi,you were
intendo,I intend 
negozio,shop 
trovo,I find
aspettando,waiting 
partita,match 
tv,TV
spazio,space 
andra,andra
notizia,news 
tempi,times
linea,line 
james,James
riguarda,regard 
soli,alone
parliamo,let's talk
uh,uh
poliziotto,police officer 
scappare,escape 
fronte,forehead 
vinto,won
averlo,have it
tranquillo,Calm 
silenzio,silence 
andati,gone
fossero,were
simile,similar 
pezzi,pieces 
calma,calm
santo,saint
ricerca,research 
pena,penalty
aspettate,wait
stesse,same
esiste,exists 
scoprire,discover 
altrimenti,otherwise 
diceva,he said
luogo,place 
lettera,letter 
vive,lives
salvare,to save
canzone,song 
vengono,they come 
pubblico,public 
senta,listen
corso,course 
henry,Henry
regalo,gift
sentite,listen
rimasto,remained
lavorando,working
né,nor
scherzando,joking
stamattina,this morning 
missione,mission
test,test
salute,Health 
farebbe,would do
scelto,choice 
dura,hard
computer,computer
stupida,stupid
avremmo,we would have
aiutarti,help you
contatto,contact
pericolo,danger 
entro,within 
parlo,I speak
alex,Alex
freddo,Freddo 
triste,sad
promesso,promised
esercito,army 
america,America
ultimi,last
trovi,you find
dunque,so 
guardia,guard
jane,Jane
infatti,Indeed 
possibilita,possibility 
intendi,you mean
fbi,FBI
casino,casino
buonanotte,Good night 
caccia,hunting 
gay,gay
arrivata,arrived
lavori,jobs 
max,max
certamente,Certainly 
regole,rules 
vostre,yours
dovrai,you will have to
secondi,seconds
ballo,dance
ascoltami,listen to me
birra,beer 
ovunque,everywhere 
club,club
paul,Paul
arrivati,arrived
governo,government
bellissima,Extremely beautiful 
oro,gold
duro,hard
cucina,Kitchen 
decisione,decision 
anima,soul 
forma,shape
tornata,returned
esempio,example 
incontrato,encountered 
occasione,occasion 
stanotte,tonight
porti,ports
droga,drugs
possibilità,possibility 
cellulare,mobile phone 
necessario,necessary 
avremo,we will have
ferma,stop
borsa,bag 
prometto,I promise
palle,balls
nonno,grampa 
piena,full
attacco,attack
dagli,from
affatto,at all 
colpito,hit 
salvato,saved
siediti,sit down
reale,royal
comprare,buy 
inferno,hell
parlarne,talk about it
diciamo,let's say
regina,queen
carina,cute
aperto,open 
brutta,ugly 
braccio,arm 
fermati,stop
stavamo,we were
crimine,crime
andrà,will go
chiesa,church 
effetti,effects
tenente,lieutenant
sapevi,did you know
scrivere,write 
scommetto,I bet
paziente,patient 
scarpe,shoes 
danny,Danny
livello,level 
fermi,stop
ia,ia
lunga,long
mentito,lied
viva,long live
spettacolo,show 
usa,USA 
visita,visit
alcun,any
sarah,Sarah
precedenti,previous ones
diventato,become
mica,not at all
sinistra,left 
percio,therefore 
processo,process
mare,sea
direttore,director
intelligente,intelligent 
mary,Mary
rende,makes
comprato,bought 
classe,class
ehm,um
cambio,change
scorsa,last
farla,do it
bianco,white 
tavolo,table 
stagione,season 
dite,say
nick,nick
dannazione,damnation 
cavallo,horse 
sergente,sergeant
incinta,pregnant 
rotto,broken 
aiuti,help
episodio,episode
rispondere,answer 
contento,happy
conoscere,know 
inglese,English 
volo,flight 
attraverso,through 
riesce,succeeds
differenza,difference
apri,open
passi,steps
uscito,released
coi,with
codice,code
lato,side 
hotel,hotel
maggiore,greater 
farsi,to make oneself
uniti,united
trovata,found
eccolo,there he is 
carne,meat
lavorato,worked
star,star
umano,human
certa,certain
miglior,best
averti,have you
de,of
pagato,paid 
libera,free 
avrà,will have
vorrebbe,would like
caldo,heat 
pelle,skin 
interno,internal 
temo,I'm afraid
leggere,light 
comandante,commander
cerco,I look for 
avrebbero,they would have
pomeriggio,afternoon 
documenti,documents 
farei,I would do
giudice,judge 
mostro,monster
destra,right 
luna,moon
ringrazio,I thank you
guardando,looking
pericoloso,dangerous 
buone,good
affare,deal 
figliolo,son
jake,Jake
vino,wine
passa,pass
presente,present 
ordini,orders
arrivederci,Until we meet again 
caffè,coffee 
barca,boat 
maledizione,curse 
nuovi,new
vederlo,see it
lezione,lesson 
intero,entire 
dia,day
partire,start 
venuti,come
sogni,dreams 
chiedendo,asking
alta,high
nord,north
pensate,think
jimmy,Jimmy
parlarti,talk to you
perciò,therefore 
congratulazioni,Congratulations 
data,date
sposato,married
gliel',give it to him
sembrare,seem 
treno,train 
radio,radio
l,l
comune,common 
cattivo,bad 
imparato,learned
smettere,quit 
ottima,excellent
aiutarmi,help me
ama,loves
intera,whole
responsabile,responsible 
abbiano,have
lascio,I leave
farcela,make it
bomba,bomb
agenti,agents
belle,beautiful
m',me
pochi,few 
san,saint
clienti,clients 
periodo,period 
energia,energy
segno,sign 
mangiato,ate 
calmati,calm down
chiudi,close
posti,places 
accidenti,damn 
bellissimo,Beautiful 
quegli,those
dovrebbero,they should
vivi,you live 
speranza,hope 
rischio,risk
caffe,coffee 
rosso,red 
soprattutto,above all 
combattere,fight 
tocca,touch
operazione,operation
zia,aunt
sexy,sexy
gamba,leg 
biglietto,ticket 
pazza,crazy 
ufficiale,official
vorresti,you would like
vincere,WIN 
gambe,legs 
pressione,pressure 
farle,do them
seguito,followed
nascosto,hidden 
maestro,master
fantastica,fantastic
benvenuto,welcome 
and,and
sarebbero,they would be
offerta,offer 
ami,love
vite,lives
scherzo,joke 
qualcos',something
finta,fake
testimone,witness 
fratelli,brothers 
banca,bank 
aprire,open 
potesse,could
stronzate,bullshit
indirizzo,address 
tale,such 
ottenere,obtain 
potessi,I could
jim,Jim
esperienza,experience 
portata,flow rate
messa,mass 
steve,Steve
piangere,cry 
bill,bill
segreti,secrets
scorso,last 
tony,Tony
lasciate,leave
andremo,we will go
sud,south
uccisa,killed
darmi,give me
torni,you come back
pianeta,planet
darti,give you
inoltre,Furthermore 
serie,series 
esci,you go out 
ray,ray
vittime,victims
diversi,different 
porca,slut
guida,guide 
prezzo,price 
strana,strange
arrabbiato,angry 
vecchi,old people
verrà,will come
orribile,horrible 
gesu,Jesus
ritorno,return 
entrato,entered
animali,animals 
enorme,huge
metto,I put
harry,Harry
passaggio,ride 
imparare,to learn
progetto,project 
danno,harm 
naturalmente,naturally 
colpevole,guilty 
ragazzino,little boy
metri,meters
tommy,Tommy
chiavi,keys 
mossa,move 
finestra,window 
suppongo,I suppose
destino,destiny
molta,a lot
saltare,jump 
correre,run 
frega,care
edificio,building
colazione,breakfast 
collo,neck 
difesa,defense
diro,I will say
vicini,neighbors 
fiducia,trust 
aiutato,helped
maggior,major
avermi,have me
saprei,I would know
capisce,he understands
ristorante,restaurant 
nomi,names
laboratorio,laboratory 
scegliere,choose 
comando,command
chiedi,ask
arte,art
meta,half 
discorso,speech 
nove,nine
avra,will have
segnale,signal
perfetta,perfect
fortunato,lucky 
libri,books 
carriera,career 
blu,blue
cominciare,start 
muro,wall 
will,will
tranne,except for 
bob,bob
proteggere,to protect
prendendo,taking
dubbio,doubt 
dati,data 
stazione,station 
emergenza,emergency
giustizia,justice
immediatamente,immediately 
odore,odor 
umani,humans
college,college
ascolti,listen
contrario,contrary
terzo,third 
preoccupare,to worry
locale,local
mette,puts
faranno,they will do
battaglia,battle
aiutarla,help her
diverse,different
notato,noted
chiamate,calls
sceriffo,sheriff
sembrano,they seem
evitare,avoid 
spirito,spirit
seduto,sitting
bianca,white 
ryan,Ryan
lingua,tongue 
dipartimento,department
controllato,controlled
massimo,maximum 
praticamente,practically 
riunione,meeting 
po',a little
rumore,noise 
torta,cake 
guardami,look at me
dirò,I will say
accanto,next to 
eroe,hero
turno,shift 
piccoli,small
entrambe,both 
dovremo,we will have to
potrai,you will be able to
londra,London
vedrai,you'll see
punti,points
fiori,flowers 
vederla,see her
persino,even 
ovvio,obvious 
furgone,van 
amy,Amy
coppia,couple 
ridere,LAUGH 
inizia,start 
pausa,break 
billy,Billy
grave,serious
vedete,you see
memoria,memory
dovevi,you had to
aiutami,help me
tranquilla,Calm 
cosi',Like this' 
naso,nose 
andava,he was going
nemico,enemy 
mangia,eats 
chiudere,close 
felici,happy
colonnello,Colonel
palla,ball 
giovani,young 
richard,Richard
nuove,new
costa,coast
laggiù,over there
lee,lee
scatola,box 
torniamo,let's go back
albero,tree 
you,you
tribunale,court 
razza,race 
anello,ring 
prenda,take
idee,ideas
piede,foot 
ferita,wound 
ferito,wound 
cerchi,circles
preoccupato,worried 
verra,will come
sentimenti,feelings 
arresto,arrest
project,project
averla,have it
dà,gives
soldato,soldier
natura,nature 
cominciato,started
inutile,useless 
casi,cases
prendiamo,let's take
colore,color 
basso,Bass 
uso,use
don,don
anzi,On the contrary 
storie,stories
digli,tell him
daniel,Daniel
preferito,favorite 
dirle,tell her
utile,useful 
cattiva,bad 
cani,dogs
sparare,to shoot
parigi,Paris
diventa,becomes 
chiamano,they call
ascoltare,listen 
kevin,Kevin
decidere,decide 
professore,professor 
fidanzato,fiancé 
sensazione,sensation
andartene,to leave
legale,legal
carte,cards
compito,task 
srt,srt
stronza,bitch
contenta,happy
provi,try
los,the
corte,court
tengo,I have
pesce,fish 
pensano,they think
johnny,Johnny
obiettivo,objective 
incontrare,encounter 
nato,born
visti,seen
show,show
conta,counts
accesso,access 
breve,brief 
risolvere,solve 
isola,island 
povero,poor 
stavolta,this time
mark,mark
affrontare,face 
poliziotti,policemen
opera,work
anna,Anna
buoni,good
ballare,dance 
bacio,kiss 
resti,remains
funzionato,worked
bordo,edge 
sbaglio,I err 
giochi,games 
verde,green 
saremmo,we would be
aperta,open
improvviso,sudden
continui,continue
fianco,flank 
alzati,get up
accettare,accept 
metà,half 
continuo,continuous
peso,weight
piaciuto,liked
stile,style 
corsa,race 
entrata,entrance 
soluzione,solution
maria,Mary
fanculo,Fuck yourself 
contratto,contract 
arrabbiata,angry 
fermare,stop 
retro,back
meraviglioso,marvelous 
guidare,guide 
denti,teeth 
mandare,send 
fidati,trust me 
sveglia,wakes up 
tiene,holds
ultimamente,lately 
creato,created
prendermi,take me
kate,Kate
dipende,Depends 
innocente,innocent
scopo,scope 
coltello,knife 
chris,Chris
fila,line 
magia,magic
effetto,effect
procuratore,attorney
ricordare,remember 
smesso,stopped
dna,DNA
vendere,sell 
pantaloni,trousers
miss,miss
centrale,central
azione,action 
principe,prince
cadavere,corpse
chiusa,closed
fede,wedding ring 
nipote,Grandchild 
andro,andro
soldati,soldiers
conti,accounts
finisce,it ends
stavano,they were
riuscita,success
troveremo,we will find
stampa,press 
of,of
assistente,assistant
ognuno,each one 
robert,Robert
debole,weak 
risultati,results
ridicolo,ridiculous 
sii,yes
vaffanculo,fuck you
andarci,go there
adam,Adam
dirtelo,tell you
grandioso,great
americano,American
gesù,Jesus
francese,French 
chiederti,ask you
faresti,you would do
taxi,taxi
sottotitoli,subtitles
creare,create 
peggiore,worse 
bevuto,drank
rimasta,remained
angolo,corner 
latte,milk 
buio,dark 
siate,be
malattia,illness 
gatto,cat 
suona,he plays
troviamo,we find
brian,Brian
estate,summer
scomparsa,disappearance 
fargli,do it to him
risposto,answered
condizioni,conditions
muoviti,move
charles,Charles
angeles,angeles
fiume,river 
schiena,back 
sindaco,mayor 
nonostante,Despite 
reso,made 
campagna,countryside 
andrai,you will go
tenuto,held
paga,pay
seguire,follow 
cerchiamo,we are looking for
scott,Scott
coglione,idiot
rachel,Rachel
bobby,Bobby
dettagli,details 
chiaramente,clearly
rispondi,Answers 
capace,capable
distrutto,destroyed
forze,forces
importanza,importance
debba,must
importanti,important
particolare,particular 
stanco,tired 
piani,plans
mantenere,maintain 
piaceva,he liked
richiesta,request 
parecchio,a lot of 
dando,giving
principale,principal 
rose,roses
insegnato,taught 
faccenda,matter
vento,wind 
immaginare,imagine 
dimenticare,forget 
matto,crazy 
convinto,convinced
rovinato,ruined
campione,sample 
buonasera,Good evening 
braccia,arm 
laggiu,down there
decisamente,decidedly 
washington,Washington
usando,using
provando,trying
momenti,moments
sbagliata,wrong
andrò,I will go
pensarci,think about it
mercato,market 
valore,value 
sbrigati,hurry up 
salire,go out 
drink,drink
riuscire,to be able to 
spiegare,explain 
principessa,princess 
provo,I try 
avro,I will have
attenta,be careful
zitta,shut up
eddie,Eddie
andy,andy
bellezza,beauty 
prendete,take
tanta,so much
morendo,dying 
rilassati,relax
buco,hole 
conversazione,conversation
dover,have to
speravo,I was hoping
attesa,wait 
pensiero,thought 
rimane,remains
benvenuti,welcome
conoscenza,knowledge 
ponte,bridge 
malato,sick 
claire,Claire
sedia,chair
vedremo,We will see 
omicidi,murders
walter,Walter
finale,final
impronte,footprints
sistemare,tidy up 
pensiamo,we think
emma,Emma
succedere,happen 
avrò,I will have
emily,Emily
ghiaccio,ice 
tracce,traces
bottiglia,bottle 
accettato,accepted
indagine,investigation
pensava,he thought
passata,past
super,super
eppure,nevertheless 
fottuto,fucked up
propria,own
tiro,shooting
cadere,fall 
ll,ll
diversa,different
sguardo,gaze 
perdita,loss 
milione,million
camminare,walk 
eccoci,here we are
dan,dan
pratica,practice 
americani,Americans
